"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HRWKD","TOT","HR_WKD","A","2000",1852,
"AUS","HRWKD","TOT","HR_WKD","A","2001",1829,
"AUS","HRWKD","TOT","HR_WKD","A","2002",1818,
"AUS","HRWKD","TOT","HR_WKD","A","2003",1807,
"AUS","HRWKD","TOT","HR_WKD","A","2004",1811,
"AUS","HRWKD","TOT","HR_WKD","A","2005",1808,
"AUS","HRWKD","TOT","HR_WKD","A","2006",1802,
"AUS","HRWKD","TOT","HR_WKD","A","2007",1803,
"AUS","HRWKD","TOT","HR_WKD","A","2008",1799,
"AUS","HRWKD","TOT","HR_WKD","A","2009",1767,
"AUS","HRWKD","TOT","HR_WKD","A","2010",1778,
"AUS","HRWKD","TOT","HR_WKD","A","2011",1774,
"AUS","HRWKD","TOT","HR_WKD","A","2012",1771,
"AUS","HRWKD","TOT","HR_WKD","A","2013",1766,
"AUS","HRWKD","TOT","HR_WKD","A","2014",1755,
"AUS","HRWKD","TOT","HR_WKD","A","2015",1751,
"AUS","HRWKD","TOT","HR_WKD","A","2016",1739,
"AUS","HRWKD","TOT","HR_WKD","A","2017",1738,
"AUS","HRWKD","TOT","HR_WKD","A","2018",1733,
"AUS","HRWKD","TOT","HR_WKD","A","2019",1722,
"AUS","HRWKD","TOT","HR_WKD","A","2020",1683,
"AUT","HRWKD","TOT","HR_WKD","A","2000",1675,
"AUT","HRWKD","TOT","HR_WKD","A","2001",1663,
"AUT","HRWKD","TOT","HR_WKD","A","2002",1661,
"AUT","HRWKD","TOT","HR_WKD","A","2003",1652,
"AUT","HRWKD","TOT","HR_WKD","A","2004",1655,
"AUT","HRWKD","TOT","HR_WKD","A","2005",1632,
"AUT","HRWKD","TOT","HR_WKD","A","2006",1617,
"AUT","HRWKD","TOT","HR_WKD","A","2007",1606,
"AUT","HRWKD","TOT","HR_WKD","A","2008",1599,
"AUT","HRWKD","TOT","HR_WKD","A","2009",1558,
"AUT","HRWKD","TOT","HR_WKD","A","2010",1552,
"AUT","HRWKD","TOT","HR_WKD","A","2011",1557,
"AUT","HRWKD","TOT","HR_WKD","A","2012",1535,
"AUT","HRWKD","TOT","HR_WKD","A","2013",1520,
"AUT","HRWKD","TOT","HR_WKD","A","2014",1510,
"AUT","HRWKD","TOT","HR_WKD","A","2015",1495,
"AUT","HRWKD","TOT","HR_WKD","A","2016",1507,
"AUT","HRWKD","TOT","HR_WKD","A","2017",1498,
"AUT","HRWKD","TOT","HR_WKD","A","2018",1502,
"AUT","HRWKD","TOT","HR_WKD","A","2019",1509,
"AUT","HRWKD","TOT","HR_WKD","A","2020",1400,
"BEL","HRWKD","TOT","HR_WKD","A","2000",1589,
"BEL","HRWKD","TOT","HR_WKD","A","2001",1581,
"BEL","HRWKD","TOT","HR_WKD","A","2002",1594,
"BEL","HRWKD","TOT","HR_WKD","A","2003",1598,
"BEL","HRWKD","TOT","HR_WKD","A","2004",1588,
"BEL","HRWKD","TOT","HR_WKD","A","2005",1578,
"BEL","HRWKD","TOT","HR_WKD","A","2006",1592,
"BEL","HRWKD","TOT","HR_WKD","A","2007",1594,
"BEL","HRWKD","TOT","HR_WKD","A","2008",1582,
"BEL","HRWKD","TOT","HR_WKD","A","2009",1563,
"BEL","HRWKD","TOT","HR_WKD","A","2010",1574,
"BEL","HRWKD","TOT","HR_WKD","A","2011",1590,
"BEL","HRWKD","TOT","HR_WKD","A","2012",1587,
"BEL","HRWKD","TOT","HR_WKD","A","2013",1586,
"BEL","HRWKD","TOT","HR_WKD","A","2014",1582,
"BEL","HRWKD","TOT","HR_WKD","A","2015",1575,
"BEL","HRWKD","TOT","HR_WKD","A","2016",1574,
"BEL","HRWKD","TOT","HR_WKD","A","2017",1578,
"BEL","HRWKD","TOT","HR_WKD","A","2018",1580,
"BEL","HRWKD","TOT","HR_WKD","A","2019",1576,
"BEL","HRWKD","TOT","HR_WKD","A","2020",1481,
"CAN","HRWKD","TOT","HR_WKD","A","2000",1787,
"CAN","HRWKD","TOT","HR_WKD","A","2001",1774,
"CAN","HRWKD","TOT","HR_WKD","A","2002",1755,
"CAN","HRWKD","TOT","HR_WKD","A","2003",1745,
"CAN","HRWKD","TOT","HR_WKD","A","2004",1755,
"CAN","HRWKD","TOT","HR_WKD","A","2005",1745,
"CAN","HRWKD","TOT","HR_WKD","A","2006",1744,
"CAN","HRWKD","TOT","HR_WKD","A","2007",1744,
"CAN","HRWKD","TOT","HR_WKD","A","2008",1741,
"CAN","HRWKD","TOT","HR_WKD","A","2009",1712,
"CAN","HRWKD","TOT","HR_WKD","A","2010",1715,
"CAN","HRWKD","TOT","HR_WKD","A","2011",1713,
"CAN","HRWKD","TOT","HR_WKD","A","2012",1722,
"CAN","HRWKD","TOT","HR_WKD","A","2013",1716,
"CAN","HRWKD","TOT","HR_WKD","A","2014",1710,
"CAN","HRWKD","TOT","HR_WKD","A","2015",1712,
"CAN","HRWKD","TOT","HR_WKD","A","2016",1706,
"CAN","HRWKD","TOT","HR_WKD","A","2017",1695,
"CAN","HRWKD","TOT","HR_WKD","A","2018",1708,
"CAN","HRWKD","TOT","HR_WKD","A","2019",1690,
"CAN","HRWKD","TOT","HR_WKD","A","2020",1644,
"CZE","HRWKD","TOT","HR_WKD","A","2000",1900,
"CZE","HRWKD","TOT","HR_WKD","A","2001",1823,
"CZE","HRWKD","TOT","HR_WKD","A","2002",1812,
"CZE","HRWKD","TOT","HR_WKD","A","2003",1799,
"CZE","HRWKD","TOT","HR_WKD","A","2004",1814,
"CZE","HRWKD","TOT","HR_WKD","A","2005",1803,
"CZE","HRWKD","TOT","HR_WKD","A","2006",1789,
"CZE","HRWKD","TOT","HR_WKD","A","2007",1775,
"CZE","HRWKD","TOT","HR_WKD","A","2008",1790,
"CZE","HRWKD","TOT","HR_WKD","A","2009",1779,
"CZE","HRWKD","TOT","HR_WKD","A","2010",1799,
"CZE","HRWKD","TOT","HR_WKD","A","2011",1805,
"CZE","HRWKD","TOT","HR_WKD","A","2012",1776,
"CZE","HRWKD","TOT","HR_WKD","A","2013",1764,
"CZE","HRWKD","TOT","HR_WKD","A","2014",1774,
"CZE","HRWKD","TOT","HR_WKD","A","2015",1751,
"CZE","HRWKD","TOT","HR_WKD","A","2016",1774,
"CZE","HRWKD","TOT","HR_WKD","A","2017",1776,
"CZE","HRWKD","TOT","HR_WKD","A","2018",1785,
"CZE","HRWKD","TOT","HR_WKD","A","2019",1784,
"CZE","HRWKD","TOT","HR_WKD","A","2020",1705,
"DNK","HRWKD","TOT","HR_WKD","A","2000",1466,
"DNK","HRWKD","TOT","HR_WKD","A","2001",1469,
"DNK","HRWKD","TOT","HR_WKD","A","2002",1463,
"DNK","HRWKD","TOT","HR_WKD","A","2003",1458,
"DNK","HRWKD","TOT","HR_WKD","A","2004",1458,
"DNK","HRWKD","TOT","HR_WKD","A","2005",1451,
"DNK","HRWKD","TOT","HR_WKD","A","2006",1456,
"DNK","HRWKD","TOT","HR_WKD","A","2007",1433,
"DNK","HRWKD","TOT","HR_WKD","A","2008",1430,
"DNK","HRWKD","TOT","HR_WKD","A","2009",1417,
"DNK","HRWKD","TOT","HR_WKD","A","2010",1422,
"DNK","HRWKD","TOT","HR_WKD","A","2011",1437,
"DNK","HRWKD","TOT","HR_WKD","A","2012",1423,
"DNK","HRWKD","TOT","HR_WKD","A","2013",1426,
"DNK","HRWKD","TOT","HR_WKD","A","2014",1414,
"DNK","HRWKD","TOT","HR_WKD","A","2015",1407,
"DNK","HRWKD","TOT","HR_WKD","A","2016",1412,
"DNK","HRWKD","TOT","HR_WKD","A","2017",1404,
"DNK","HRWKD","TOT","HR_WKD","A","2018",1381,
"DNK","HRWKD","TOT","HR_WKD","A","2019",1381,
"DNK","HRWKD","TOT","HR_WKD","A","2020",1346,
"FIN","HRWKD","TOT","HR_WKD","A","2000",1650,
"FIN","HRWKD","TOT","HR_WKD","A","2001",1636,
"FIN","HRWKD","TOT","HR_WKD","A","2002",1628,
"FIN","HRWKD","TOT","HR_WKD","A","2003",1623,
"FIN","HRWKD","TOT","HR_WKD","A","2004",1624,
"FIN","HRWKD","TOT","HR_WKD","A","2005",1613,
"FIN","HRWKD","TOT","HR_WKD","A","2006",1608,
"FIN","HRWKD","TOT","HR_WKD","A","2007",1605,
"FIN","HRWKD","TOT","HR_WKD","A","2008",1601,
"FIN","HRWKD","TOT","HR_WKD","A","2009",1580,
"FIN","HRWKD","TOT","HR_WKD","A","2010",1585,
"FIN","HRWKD","TOT","HR_WKD","A","2011",1578,
"FIN","HRWKD","TOT","HR_WKD","A","2012",1568,
"FIN","HRWKD","TOT","HR_WKD","A","2013",1560,
"FIN","HRWKD","TOT","HR_WKD","A","2014",1558,
"FIN","HRWKD","TOT","HR_WKD","A","2015",1555,
"FIN","HRWKD","TOT","HR_WKD","A","2016",1555,
"FIN","HRWKD","TOT","HR_WKD","A","2017",1549,
"FIN","HRWKD","TOT","HR_WKD","A","2018",1546,
"FIN","HRWKD","TOT","HR_WKD","A","2019",1539,
"FIN","HRWKD","TOT","HR_WKD","A","2020",1531,
"FRA","HRWKD","TOT","HR_WKD","A","2000",1558,
"FRA","HRWKD","TOT","HR_WKD","A","2001",1538,
"FRA","HRWKD","TOT","HR_WKD","A","2002",1504,
"FRA","HRWKD","TOT","HR_WKD","A","2003",1507,
"FRA","HRWKD","TOT","HR_WKD","A","2004",1531,
"FRA","HRWKD","TOT","HR_WKD","A","2005",1532,
"FRA","HRWKD","TOT","HR_WKD","A","2006",1515,
"FRA","HRWKD","TOT","HR_WKD","A","2007",1537,
"FRA","HRWKD","TOT","HR_WKD","A","2008",1543,
"FRA","HRWKD","TOT","HR_WKD","A","2009",1531,
"FRA","HRWKD","TOT","HR_WKD","A","2010",1540,
"FRA","HRWKD","TOT","HR_WKD","A","2011",1546,
"FRA","HRWKD","TOT","HR_WKD","A","2012",1541,
"FRA","HRWKD","TOT","HR_WKD","A","2013",1526,
"FRA","HRWKD","TOT","HR_WKD","A","2014",1518,
"FRA","HRWKD","TOT","HR_WKD","A","2015",1519,
"FRA","HRWKD","TOT","HR_WKD","A","2016",1522,
"FRA","HRWKD","TOT","HR_WKD","A","2017",1508,
"FRA","HRWKD","TOT","HR_WKD","A","2018",1514,
"FRA","HRWKD","TOT","HR_WKD","A","2019",1511,
"FRA","HRWKD","TOT","HR_WKD","A","2020",1402,
"DEU","HRWKD","TOT","HR_WKD","A","2000",1465.9,
"DEU","HRWKD","TOT","HR_WKD","A","2001",1458.2,
"DEU","HRWKD","TOT","HR_WKD","A","2002",1448.9,
"DEU","HRWKD","TOT","HR_WKD","A","2003",1443.4,
"DEU","HRWKD","TOT","HR_WKD","A","2004",1442.6,
"DEU","HRWKD","TOT","HR_WKD","A","2005",1432.4,
"DEU","HRWKD","TOT","HR_WKD","A","2006",1453.2,
"DEU","HRWKD","TOT","HR_WKD","A","2007",1454.1,
"DEU","HRWKD","TOT","HR_WKD","A","2008",1447.3,
"DEU","HRWKD","TOT","HR_WKD","A","2009",1405,
"DEU","HRWKD","TOT","HR_WKD","A","2010",1425.7,
"DEU","HRWKD","TOT","HR_WKD","A","2011",1426.9,
"DEU","HRWKD","TOT","HR_WKD","A","2012",1408,
"DEU","HRWKD","TOT","HR_WKD","A","2013",1396.5,
"DEU","HRWKD","TOT","HR_WKD","A","2014",1400.4,
"DEU","HRWKD","TOT","HR_WKD","A","2015",1401,
