Name;WHO Region;Cases - cumulative total;Cases - cumulative total per 100000 population;Cases - newly reported in last 7 days;Cases - newly reported in last 7 days per 100000 population;Cases - newly reported in last 24 hours;Deaths - cumulative total;Deaths - cumulative total per 100000 population;Deaths - newly reported in last 7 days;Deaths - newly reported in last 7 days per 100000 population;Deaths - newly reported in last 24 hours;Code 
Global;;245373039;3148.0116555773425;3001300;38.50515696585671;456522;4979421;63.88344624132313;51218;0.6571009660737852;8086;
United States of America;Americas;45445663;13729.698;504967;152.557;80460;736801;222.597;9955;3.008;1681;USA
India;South-East Asia;34246157;2481.598;102921;7.458;14348;457191;33.13;4149;0.301;805;
Brazil;Americas;21766168;10240.039;85680;40.309;17184;606679;285.416;2451;1.153;433;BRA
The United Kingdom;Europe;8936159;13163.478;294934;434.455;39006;140206;206.532;1060;1.561;165;UK
Russian Federation;Europe;8432546;5778.31;264241;181.068;39849;236220;161.867;7767;5.322;1163;
Turkey;Europe;7961535;9439.914;188931;224.014;25528;69998;82.996;1526;1.809;229;
France;Europe;6923896;10645.701;37045;56.958;6126;115220;177.154;184;0.283;22;FRA
Iran (Islamic Republic of);Eastern Mediterranean;5899509;7023.815;65984;78.559;11409;125875;149.864;1112;1.324;159;
Argentina;Americas;5284485;11692.432;8501;18.809;1485;115889;256.416;119;0.263;23;
Spain;Europe;5008888;10582.319;11374;24.03;1241;87322;184.486;70;0.148;2;ESP
Colombia;Americas;4995694;9818.023;10943;21.506;1680;127159;249.905;228;0.448;26;
Italy;Europe;4757231;7976.379;27553;46.198;4863;132004;221.329;280;0.469;50;ITA
Germany;Europe;4559120;5481.905;121840;146.501;24668;95606;114.957;615;0.739;121;DEU
Indonesia;South-East Asia;4242532;1551.066;3938;1.44;0;143333;52.402;180;0.066;0;
Mexico;Americas;3793783;2942.451;26025;20.185;4797;287274;222.809;1927;1.495;386;
Poland;Europe;3008294;7925.294;46371;122.164;9403;76875;202.526;516;1.359;102;POL
South Africa;Africa;2921114;4925.271;2748;4.633;533;89104;150.238;269;0.454;55;
