country;prevalence;cases;pop2021;LOCATION
Ukraine;6.3000;2800587;43466.8190;
United States;5.9000;17491047;332915.0730;USA
Australia;5.9000;1318599;25788.2150;AUS
Estonia;5.9000;75667;1325.1850;
Brazil;5.8000;11548577;213993.4370;BRA
Greece;5.7000;593136;10370.7440;GRC
Portugal;5.7000;578234;10167.9250;PRT
Belarus;5.6000;510764;9442.8620;
Finland;5.6000;293921;5548.3600;FIN
Lithuania;5.6000;169685;2689.8620;
Russia;5.5000;7815714;145912.0250;
Cuba;5.5000;605879;11317.5050;
New Zealand;5.4000;221338;4860.6430;NZL
Moldova;5.4000;207247;4024.0190;
Barbados;5.4000;14586;287.7110;
Germany;5.2000;2116728;83900.4730;DEU
Spain;5.2000;2408700;46745.2160;ESP
Czech Republic;5.2000;525488;10724.5550;CZE
Paraguay;5.2000;332628;7219.6380;
Bulgaria;5.2000;360724;6896.6630;
Trinidad and Tobago;5.2000;67614;1403.3750;
Bahamas;5.2000;19138;396.9130;
Italy;5.1000;3049986;60367.4770;ITA
Poland;5.1000;1878988;37797.0050;POL
United Arab Emirates;5.1000;444016;9991.0890;
Hungary;5.1000;493783;9634.1640;HUN
Austria;5.1000;415916;9043.0700;AUT
Slovakia;5.1000;268516;5460.7210;
Croatia;5.1000;205541;4081.6510;HRV
Bosnia and Herzegovina;5.1000;185557;3263.4660;
Qatar;5.1000;105684;2930.5280;
Slovenia;5.1000;99864;2078.7240;
Cyprus;5.1000;42662;1215.5840;
Djibouti;5.1000;43909;1002.1870;
Malta;5.1000;20049;442.7840;
Antigua and Barbuda;5.1000;4424;98.7310;
Chile;5;844253;19212.3610;
Romania;5;931842;19127.7740;ROU
Switzerland;5;388870;8715.4940;CHE
Serbia;5;419302;8697.5500;
Denmark;5;267213;5813.2980;DNK
Kuwait;5;181756;4328.5500;
Georgia;5;189241;3979.7650;
Uruguay;5;158005;3485.1510;
Armenia;5;142712;2968.1270;
Luxembourg;5;26350;634.8140;
Iran;4.9000;3637308;85028.7590;
Tunisia;4.9000;518432;11935.7660;
Sweden;4.9000;446734;10160.1690;SWE
Latvia;4.9000;102702;1866.9420;
Cape Verde;4.9000;24240;561.8980;
Saint Lucia;4.9000;8892;184.4000;
Saint Vincent and the Grenadines;4.9000;5144;111.2630;
France;4.8000;2949572;65426.1790;FRA
Peru;4.8000;1443513;33359.4180;
Belgium;4.8000;502075;11632.3260;BEL
Ireland;4.8000;212555;4982.9070;
Jamaica;4.8000;134054;2973.4630;
Albania;4.8000;131048;2872.9330;
Lesotho;4.8000;98988;2159.0790;
Bahrain;4.8000;62549;1748.2960;
Montenegro;4.8000;28627;628.0530;
Suriname;4.8000;24914;591.8000;
Ethiopia;4.7000;4480113;117876.2270;
Colombia;4.7000;2177280;51265.8440;
Argentina;4.7000;1914354;45605.8260;
Canada;4.7000;1566903;38067.9030;CAN
