Entity;LOCATION;Region
Austria;AUT;Western Europe
Belgium;BEL;Western Europe
Croatia;HRV;Eastern Europe
Czechia;CZE;Eastern Europe
Denmark;DNK;Northern Europe
UK;UK;Northern Europe
Finland;FIN;Northern Europe
France;FRA;Western Europe
Germany;DEU;Western Europe
Greece;GRC;Eastern Europe
Hungary;HUN;Eastern Europe
Iceland;ISL;Northern Europe
Italy;ITA;Western Europe
Romania;ROU;Eastern Europe
Portugal;PRT;Western Europe
Poland;POL;Eastern Europe
Norway;NOR;Northern Europe
Netherlands;NLD;Western Europe
Switzerland;CHE;Western Europe
Sweden;SWE;Northern Europe
Spain;ESP;Western Europe
Australia;AUS;Oceania
Brazil;BRA;South America
Canada;CAN;North America
China;CHN;Asia
Japan;JPN;Asia
New-Zealand;NZL;Oceania
USA;USA;North America
