DATAFLOW;LAST UPDATE;freq;unit;sex;frequenc;age;wstatus;geo;TIME_PERIOD;OBS_VALUE
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;AUT;2010;10.7
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;AUT;2011;11.1
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;AUT;2012;10.7
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;AUT;2013;10.7
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;AUT;2014;11.0
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;AUT;2015;10.5
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;AUT;2016;10.2
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;AUT;2017;9.7
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;AUT;2018;10.2
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;AUT;2019;10.2
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;AUT;2020;18.5
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;BEL;2010;9.8
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;BEL;2011;10.0
ESTAT:LFSA_EHOMP(1.0);10/09/21 23:00:00;A;PC;T;USU;Y20-64;EMP;BEL;2012;9.3
